Đường,Phường,Quận/Huyện,Thành phố,Hashtag,Gói tin,Loại phòng,Diện tích (m²),Giá phòng (triệu/tháng)
Địa chỉ: Đường Nguyễn Văn Cừ,Phường Cầu Ông Lãnh,Quận 1,Thành phố Hồ Chí Minh,663854,Tin thường,Phòng trọ Quận 1, 25m,4
,Phường Tân Phong,Quận 7,Thành phố Hồ Chí Minh,656825,Tin thường,Cho thuê căn hộ dịch vụ Quận 7, 45m,7
Địa chỉ: Đường Nguyễn Trãi,Phường Nguyễn Cư Trinh,Quận 1,Thành phố Hồ Chí Minh,663857,Tin thường,Phòng trọ Quận 1, 33m,5.5
,Phường 8,Quận 4,Thành phố Hồ Chí Minh,663853,Tin thường,Cho thuê nhà Quận 4, 40m,8
Địa chỉ: 210 Đường Cô Giang,Phường Cô Giang,Quận 1,Thành phố Hồ Chí Minh,663855,Tin thường,Phòng trọ Quận 1, 25m,4.5
Địa chỉ: 71 Đường Khuông Việt,Phường Phú Trung,Quận Tân Phú,Thành phố Hồ Chí Minh,663858,Tin thường,Phòng trọ Quận Tân Phú, 35m,1.5
Địa chỉ: 736 Đường Cách Mạng Tháng Tám,Phường 5,Quận Tân Bình,Thành phố Hồ Chí Minh,659500,Tin thường,Cho thuê căn hộ dịch vụ Quận Tân Bình, 25m,5
,Phường 14,Quận 10,Thành phố Hồ Chí Minh,663859,Tin miễn phí,Phòng trọ Quận 10, 14m,3.2
Địa chỉ: Đường Nguyễn Thị Thập,Phường Bình Thuận,Quận 7,Thành phố Hồ Chí Minh,654420,Tin thường,Phòng trọ Quận 7, 35m,6
,,,Không rõ,663579,Tin thường,Cho thuê căn hộ Quận 2, 60m,8.5
Địa chỉ: 385/66 Đường Lê Văn Thọ,Phường 9,Quận Gò Vấp,Thành phố Hồ Chí Minh,663860,Tin miễn phí,Phòng trọ Quận Gò Vấp, 25m,4.3
Địa chỉ: 40 Đường Âu Cơ,Phường 10,Quận Tân Bình,Thành phố Hồ Chí Minh,663862,Tin miễn phí,Phòng trọ Quận Tân Bình, 25m,4
Địa chỉ: 395 Đường Phạm Hữu Lầu,Xã Phước Kiển,Huyện Nhà Bè,Thành phố Hồ Chí Minh,663861,Tin miễn phí,Cho thuê nhà Huyện Nhà Bè, 100m,15
Địa chỉ: 55 Đường Nguyễn Tri Phương,Phường 6,Quận 5,Thành phố Hồ Chí Minh,663864,Tin thường,Phòng trọ Quận 5, 30m,5.2
Địa chỉ: Đường Mã Lò,Phường Bình Trị Đông A,Quận Bình Tân,Thành phố Hồ Chí Minh,663851,Tin thường,Phòng trọ Quận Bình Tân, 35m,4
,Phường Nguyễn Cư Trinh,Quận 1,Thành phố Hồ Chí Minh,663863,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận 1, 28m,5.5
Địa chỉ: Phố Lý Thường Kiệt,Phường 15,Quận 10,Thành phố Hồ Chí Minh,663866,Tin thường,Phòng trọ Quận 10, 25m,4.5
Địa chỉ: 1/16B Đường Đồ Sơn,Phường 4,Quận Tân Bình,Thành phố Hồ Chí Minh,663867,Tin miễn phí,Phòng trọ Quận Tân Bình, 20m,4.5
Địa chỉ: Đường Nguyễn Hữu Thọ,Phường Tân Phong,Quận 7,Thành phố Hồ Chí Minh,630568,Tin thường,Phòng trọ Quận 7, 20m,4.3
,Phường Trung Hòa,Quận Cầu Giấy,Thành phố Hồ Chí Minh,605313,Tin thường,Cho thuê căn hộ mini Quận Cầu Giấy, 25m,5.5
,Phường Trung Hòa,Quận Cầu Giấy,Thành phố Hồ Chí Minh,605632,Tin thường,Cho thuê căn hộ mini Quận Cầu Giấy, 25m,5.95
Địa chỉ: 493A/73/3 Đường Cách Mạng Tháng Tám,Phường 13,Quận 10,Thành phố Hồ Chí Minh,59622,Tin thường,Phòng trọ Quận 10, 15m,2.6
Địa chỉ: Đường D4,Phường Tân Hưng,Quận 7,Thành phố Hồ Chí Minh,620950,Tin thường,Phòng trọ Quận 7, 16m,5.2
Địa chỉ: 711 Đường Quốc lộ 1A,Phường Thạnh Xuân,Quận 12,Thành phố Hồ Chí Minh,583367,Tin thường,Phòng trọ Quận 12, 35m,3
Địa chỉ: 204 Đường Trần Duy Hưng,Phường Trung Hòa,Quận Cầu Giấy,Thành phố Hồ Chí Minh,605327,Tin thường,Cho thuê căn hộ dịch vụ Quận Cầu Giấy, 25m,7.5
,Phường Tân Phong,Quận 7,Thành phố Hồ Chí Minh,635130,Tin thường,Phòng trọ Quận 7, 20m,3.6
Địa chỉ: 656 Đường Hà Huy Giáp,Phường Thạnh Xuân,Quận 12,Thành phố Hồ Chí Minh,589170,Tin thường,Phòng trọ Quận 12, 35m,3
,Phường 9,Quận Tân Bình,Thành phố Hồ Chí Minh,628444,Tin thường,Phòng trọ Quận Tân Bình, 16m,2
Địa chỉ: 26 Đường số 30,Phường 6,Quận Gò Vấp,Thành phố Hồ Chí Minh,662828,Tin miễn phí,Phòng trọ Quận Gò Vấp, 18m,2.2
Địa chỉ: Nhà trọ Phương Mai Đường DX 09,Xã Hội Nghĩa,Thành phố Tân Uyên,Không rõ,623187,Tin thường,Phòng trọ Thành phố Tân Uyên, 25m,1.4
Địa chỉ: 824/26 Đường Sư Vạn Hạnh,Phường 12,Quận 10,Thành phố Hồ Chí Minh,663753,Tin miễn phí,Phòng trọ Quận 10, 18m,2.2
Địa chỉ: 44 Đường Hà Bổng,Phường Phước Mỹ,Quận Sơn Trà,Thành phố Hồ Chí Minh,663865,Tin miễn phí,Phòng trọ Quận Sơn Trà, 25m,3
,Phường Hiệp Phú,Quận 9,Thành phố Hồ Chí Minh,663392,Tin thường,Phòng trọ Quận 9, 35m,1.4
Địa chỉ: 136 Đường Nguyễn Thượng Hiền,Phường 1,Quận Gò Vấp,Thành phố Hồ Chí Minh,662845,Tin thường,Phòng trọ Quận Gò Vấp, 35m,1.7
,Phường Phú Hữu,Quận 9,Thành phố Hồ Chí Minh,616442,Tin thường,Tìm người ở ghép Quận 9, 73m,1.6
,Phường 4,Quận 8,Thành phố Hồ Chí Minh,663444,Tin thường,Phòng trọ Quận 8, 35m,1.9
Địa chỉ: 56 Đường Phạm Thị Tánh,Phường 4,Quận 8,Thành phố Hồ Chí Minh,663446,Tin thường,Phòng trọ Quận 8, 35m,1.9
Địa chỉ: Đường Trường Chinh,Phường 13,Quận Tân Bình,Thành phố Hồ Chí Minh,662855,Tin thường,Phòng trọ Quận Tân Bình, 35m,1.5
Địa chỉ: Đường Trần Thị Nghĩ,Phường 7,Quận Gò Vấp,Thành phố Hồ Chí Minh,663081,Tin thường,Phòng trọ Quận Gò Vấp, 35m,2
,Phường 13,Quận Gò Vấp,Thành phố Hồ Chí Minh,663775,Tin thường,Phòng trọ Quận Gò Vấp, 35m,1.7
Địa chỉ: Đường Lâm Văn Bền,Phường Tân Kiểng,Quận 7,Thành phố Hồ Chí Minh,655228,Tin thường,Cho thuê căn hộ dịch vụ Quận 7, 40m,8
,Xã Phước Kiển,Huyện Nhà Bè,Thành phố Hồ Chí Minh,618204,Tin thường,Phòng trọ Huyện Nhà Bè, 20m,5
Địa chỉ: 43 Đường An Bình,Phường 6,Quận 5,Thành phố Hồ Chí Minh,663822,Tin miễn phí,Phòng trọ Quận 5, 6m,1.6
Địa chỉ: Đường số 9,Phường Tân Phong,Quận 7,Thành phố Hồ Chí Minh,663827,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận 7, 30m,7
,Phường Bến Nghé,Quận 1,Thành phố Hồ Chí Minh,663823,Tin thường,Phòng trọ Quận 1, 30m,5.5
Địa chỉ: 163/12/7y Tô Hiến Thành Đường Tô Hiến Thành,Phường 13,Quận 10,Thành phố Hồ Chí Minh,28109,Tin thường,Phòng trọ Quận 10, 25m,3
Địa chỉ: 32/42 Đường Bùi Đình Túy,Phường 12,Quận Bình Thạnh,Thành phố Hồ Chí Minh,663829,Tin miễn phí,Cho thuê nhà Quận Bình Thạnh, 220m,25
,Phường An Lạc,Quận Bình Tân,Thành phố Hồ Chí Minh,654030,Tin thường,Cho thuê nhà Quận Bình Tân, 90m,14
Địa chỉ: 488 Phố Lê Trọng Tấn,Phường Tây Thạnh,Quận Tân Phú,Thành phố Hồ Chí Minh,656697,Tin thường,Phòng trọ Quận Tân Phú, 40m,1.5
Địa chỉ: 28 Đường Mai Chí Thọ,Phường An Phú,Quận 2,Thành phố Hồ Chí Minh,663830,Tin miễn phí,Tìm người ở ghép Quận 2, 30m,3.3
Địa chỉ: Đường Điện Biên Phủ,Phường 15,Quận Bình Thạnh,Thành phố Hồ Chí Minh,663831,Tin miễn phí,Tìm người ở ghép Quận Bình Thạnh, 30m,1.2
,Phường 11,Quận 11,Thành phố Hồ Chí Minh,656480,Tin thường,Phòng trọ Quận 11, 40m,1.5
Địa chỉ: 50 Đường số 21,Phường 8,Quận Gò Vấp,Thành phố Hồ Chí Minh,663833,Tin miễn phí,Phòng trọ Quận Gò Vấp, 25m,4.1
Địa chỉ: 32 Đường Lê Thị Hồng,Phường 17,Quận Gò Vấp,Thành phố Hồ Chí Minh,643080,Tin thường,Phòng trọ Quận Gò Vấp, 40m,1
Địa chỉ: 68 Đường Trần Quang Khải,Phường Tân Định,Quận 1,Thành phố Hồ Chí Minh,663834,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận 1, 30m,6.3
Địa chỉ: 153/8/26 Nguyễn Thông giá rẻ Đường Nguyễn Thông,Phường 9,Quận 3,Thành phố Hồ Chí Minh,277270,Tin thường,Phòng trọ Quận 3, 25m,3.3
Địa chỉ: Đường Nguyễn Thái Sơn,Phường 5,Quận Gò Vấp,Thành phố Hồ Chí Minh,628415,Tin thường,Phòng trọ Quận Gò Vấp, 20m,2.8
Địa chỉ: 4/128 Đường Mễ Trì Hạ,Phường Mễ Trì,Quận Nam Từ Liêm,Thành phố Hồ Chí Minh,663695,Tin thường,Phòng trọ Quận Nam Từ Liêm, 25m,3
,Phường Xuân La,Quận Tây Hồ,Thành phố Hồ Chí Minh,663835,Tin miễn phí,Tìm người ở ghép Quận Tây Hồ, 88m,4
Địa chỉ: Đường Nguyễn Kiệm,Phường 3,Quận Gò Vấp,Thành phố Hồ Chí Minh,657661,Tin thường,Phòng trọ Quận Gò Vấp, 20m,3.3
Địa chỉ: Đường Nguyễn Thái Sơn,Phường 5,Quận Gò Vấp,Thành phố Hồ Chí Minh,634479,Tin thường,Phòng trọ Quận Gò Vấp, 25m,3.9
Địa chỉ: Đường Bùi Hữu Nghĩa,Phường 2,Quận Bình Thạnh,Thành phố Hồ Chí Minh,592668,Tin thường,Phòng trọ Quận Bình Thạnh, 20m,3.2
Địa chỉ: Đường Đinh Bộ Lĩnh,Phường 26,Quận Bình Thạnh,Thành phố Hồ Chí Minh,291227,Tin thường,Phòng trọ Quận Bình Thạnh, 20m,3.4
Địa chỉ: 33/14 Đường Nguyễn Công Hoan,Phường 7,Quận Phú Nhuận,Thành phố Hồ Chí Minh,594288,Tin thường,Phòng trọ Quận Phú Nhuận, 20m,3.6
Địa chỉ: Đường Dương Quảng Hàm,Phường 6,Quận Gò Vấp,Thành phố Hồ Chí Minh,663838,Tin miễn phí,Phòng trọ Quận Gò Vấp, 25m,4.5
Địa chỉ: Đường Nguyễn Kiệm,Phường 3,Quận Gò Vấp,Thành phố Hồ Chí Minh,663839,Tin miễn phí,Phòng trọ Quận Gò Vấp, 17m,3.8
Địa chỉ: Đường số 71,Phường Tân Phong,Quận 7,Thành phố Hồ Chí Minh,663840,Tin thường,Phòng trọ Quận 7, 25m,2.8
Địa chỉ: 286 Đường Tô Hiến Thành,Phường 15,Quận 10,Thành phố Hồ Chí Minh,643511,Tin thường,Phòng trọ Quận 10, 40m,1.8
Địa chỉ: 213/34 Đường Hồng Lạc,Phường 10,Quận Tân Bình,Thành phố Hồ Chí Minh,606808,Tin miễn phí,Phòng trọ Quận Tân Bình, 64m,3.5
,Phường 5,Quận Gò Vấp,Thành phố Hồ Chí Minh,651123,Tin thường,Phòng trọ Quận Gò Vấp, 20m,3.2
,Phường 24,Quận Bình Thạnh,Thành phố Hồ Chí Minh,115543,Tin thường,Phòng trọ Quận Bình Thạnh, 20m,3.2
Địa chỉ: 81 Đường Tân Thới Nhất 1,Phường Tân Thới Nhất,Quận 12,Thành phố Hồ Chí Minh,663847,Tin thường,Phòng trọ Quận 12, 25m,3.7
Địa chỉ: 113 Đường số 14,Xã Phong Phú,Huyện Bình Chánh,Thành phố Hồ Chí Minh,663845,Tin miễn phí,Phòng trọ Huyện Bình Chánh, 50m,3.5
Địa chỉ: Đường số 3/2,Phường 11,Quận 10,Thành phố Hồ Chí Minh,663843,Tin thường,Cho thuê căn hộ dịch vụ Quận 10, 32m,8.7
Địa chỉ: Đường Nguyễn Thị Thập,Phường Tân Quy,Quận 7,Thành phố Hồ Chí Minh,663848,Tin thường,Cho thuê căn hộ dịch vụ Quận 7, 35m,5
Địa chỉ: Đường Phan Tây Hồ,Phường 7,Quận Phú Nhuận,Thành phố Hồ Chí Minh,606586,Tin thường,Phòng trọ Quận Phú Nhuận, 20m,3.2
Địa chỉ: Đường Trần Xuân Soạn,Phường Tân Hưng,Quận 7,Thành phố Hồ Chí Minh,658073,Tin thường,Cho thuê căn hộ dịch vụ Quận 7, 40m,5.9
Địa chỉ: Đường Nguyễn Thị Thập,Phường Tân Quy,Quận 7,Thành phố Hồ Chí Minh,663849,Tin thường,Cho thuê căn hộ dịch vụ Quận 7, 30m,5
Địa chỉ: Đường Thành Thái,Phường 12,Quận 10,Thành phố Hồ Chí Minh,663850,Tin miễn phí,Phòng trọ Quận 10, 16m,2.5
,,,Không rõ,663799,Tin miễn phí,Cho thuê mặt bằng Quận Thanh Xuân, 30m,4
,Phường Xuân Hà,Quận Thanh Khê,Thành phố Hồ Chí Minh,663262,Tin miễn phí,Cho thuê nhà Quận Thanh Khê, 200m,4.5
Địa chỉ: 30/19 Đường Nguyễn Hữu Cảnh,Phường 22,Quận Bình Thạnh,Thành phố Hồ Chí Minh,658229,Tin miễn phí,Tìm người ở ghép Quận Bình Thạnh, 30m,1.75
Địa chỉ: 75 Phố Trung Liệt,Phường Trung Liệt,Quận Đống Đa,Thành phố Hồ Chí Minh,663801,Tin miễn phí,Cho thuê mặt bằng Quận Đống Đa, 9m,5
Địa chỉ: Đường số 25,Phường Tân Quy,Quận 7,Thành phố Hồ Chí Minh,660370,Tin thường,Phòng trọ Quận 7, 30m,5.9
Địa chỉ: Đường số 7,Phường 10,Quận Gò Vấp,Thành phố Hồ Chí Minh,663805,Tin miễn phí,Phòng trọ Quận Gò Vấp, 20m,4.2
,Phường An Bình,Thành phố Dĩ An,Không rõ,663802,Tin thường,Cho thuê căn hộ Thành phố Dĩ An, 75m,8.3
Địa chỉ: Đường Nguyễn Kiệm,Phường 3,Quận Gò Vấp,Thành phố Hồ Chí Minh,663807,Tin miễn phí,Phòng trọ Quận Gò Vấp, 20m,4
,Phường Bà Điểm,Huyện Hóc Môn,Thành phố Hồ Chí Minh,663841,Tin miễn phí,Phòng trọ Huyện Hóc Môn, 23m,1.5
Địa chỉ: Đường Hòa Bình,Phường Phú Thạnh,Quận Tân Phú,Thành phố Hồ Chí Minh,663811,Tin thường,Phòng trọ Quận Tân Phú, 25m,2.7
Địa chỉ: Đường Huỳnh Mẫn Đạt,Phường 7,Quận 5,Thành phố Hồ Chí Minh,663868,Tin miễn phí,Cho thuê nhà Quận 5, 25m,17
Địa chỉ: 113/17 Đường Trần Quang Diệu,Phường 14,Quận 3,Thành phố Hồ Chí Minh,663810,Tin miễn phí,Tìm người ở ghép Quận 3, 20m,5.5
Địa chỉ: 1122 Đường Quang Trung,Phường 8,Quận Gò Vấp,Thành phố Hồ Chí Minh,663869,Tin miễn phí,Tìm người ở ghép Quận Gò Vấp, 15m,1.5
,Phường 7,Quận Phú Nhuận,Thành phố Hồ Chí Minh,663870,Tin miễn phí,Phòng trọ Quận Phú Nhuận, 45m,10
Địa chỉ: TK25 Đường Nguyễn Cảnh Chân,Phường Cầu Kho,Quận 1,Thành phố Hồ Chí Minh,663814,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận 1, 30m,5
Địa chỉ: 35 Đường Nguyễn Thanh Tuyền,Phường 2,Quận Tân Bình,Thành phố Hồ Chí Minh,662925,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận Tân Bình, 33m,8.5
Địa chỉ: Đường số 2,Phường Phú Thuận,Quận 7,Thành phố Hồ Chí Minh,654331,Tin thường,Phòng trọ Quận 7, 30m,5.5
Địa chỉ: Đường Nguyễn Du,Phường Bình Hòa,Thành phố Thuận An,Không rõ,663818,Tin miễn phí,Cho thuê căn hộ Thành phố Thuận An, 55m,6
,Phường 7,Quận Gò Vấp,Thành phố Hồ Chí Minh,633422,Tin thường,Phòng trọ Quận Gò Vấp, 35m,1.4
Địa chỉ: 86 Đường Nguyễn Thông,Phường 9,Quận 3,Thành phố Hồ Chí Minh,129272,Tin thường,Tìm người ở ghép Quận 3, 30m,0.7
,Phường 13,Quận Tân Bình,Thành phố Hồ Chí Minh,663821,Tin thường,Phòng trọ Quận Tân Bình, 30m,3.9
Địa chỉ: Đường Bùi Văn Ba,Phường Tân Thuận Đông,Quận 7,Thành phố Hồ Chí Minh,643955,Tin thường,Phòng trọ Quận 7, 30m,3.9
,Phường Tân Thuận Đông,Quận 7,Thành phố Hồ Chí Minh,645523,Tin thường,Phòng trọ Quận 7, 30m,3.5
Địa chỉ: Đường Nguyễn Hữu Thọ,Phường Tân Phong,Quận 7,Thành phố Hồ Chí Minh,618203,Tin thường,Phòng trọ Quận 7, 16m,3.8
,Phường 11,Quận Phú Nhuận,Thành phố Hồ Chí Minh,661482,Tin miễn phí,Phòng trọ Quận Phú Nhuận, 12m,3
Địa chỉ: Đường Nguyễn Thi,Phường 13,Quận 5,Thành phố Hồ Chí Minh,292220,Tin thường,Phòng trọ Quận 5, 10m,1.5
Địa chỉ: 155a Đường Triệu Quang Phục,Phường 11,Quận 5,Thành phố Hồ Chí Minh,663872,Tin miễn phí,Phòng trọ Quận 5, 50m,7
Địa chỉ: 359/21 Đường Lê Văn Sỹ,Phường 10,Quận 3,Thành phố Hồ Chí Minh,663873,Tin thường,Phòng trọ Quận 3, 25m,5
,Phường Phú Trung,Quận Tân Phú,Thành phố Hồ Chí Minh,663876,Tin thường,Phòng trọ Quận Tân Phú, 25m,4.4
Địa chỉ: Đường Tân Hương,Phường Tân Quý,Quận Tân Phú,Thành phố Hồ Chí Minh,657272,Tin thường,Phòng trọ Quận Tân Phú, 25m,4.3
,Phường 11,Quận 6,Thành phố Hồ Chí Minh,639968,Tin miễn phí,Tìm người ở ghép Quận 6, 30m,0.000675
Địa chỉ: 170 Đường Mỹ Đình,Phường Mỹ Đình 2,Quận Nam Từ Liêm,Thành phố Hồ Chí Minh,663880,Tin miễn phí,Phòng trọ Quận Nam Từ Liêm, 28m,4
Địa chỉ: 7A/9 Đường Thành Thái,Phường 14,Quận 10,Thành phố Hồ Chí Minh,283391,Tin thường,Phòng trọ Quận 10, 30m,4.5
Địa chỉ: 40 Đường số 31E,Phường An Phú,Quận 2,Thành phố Hồ Chí Minh,629507,Tin thường,Phòng trọ Quận 2, 28m,6.3
,,,Không rõ,658078,Tin miễn phí,Cho thuê nhà Huyện Hóc Môn, 32m,3
Địa chỉ: 686/72/41 Đường Cách Mạng Tháng Tám,Phường 11,Quận 3,Thành phố Hồ Chí Minh,659139,Tin thường,Phòng trọ Quận 3, 22m,2.7
,,,Không rõ,663882,Tin thường,Cho thuê nhà Huyện Bình Chánh, 120m,3.5
Địa chỉ: 2 Phố Trung Kính,Phường Yên Hòa,Quận Cầu Giấy,Thành phố Hồ Chí Minh,662361,Tin thường,Phòng trọ Quận Cầu Giấy, 20m,1.7
Địa chỉ: 426 Đường Láng,Phường Láng Hạ,Quận Đống Đa,Thành phố Hồ Chí Minh,646736,Tin thường,Phòng trọ Quận Đống Đa, 20m,1.5
Địa chỉ: 842/39/18 Đường Tỉnh Lộ 10,Phường Bình Trị Đông A,Quận Bình Tân,Thành phố Hồ Chí Minh,649897,Tin thường,Phòng trọ Quận Bình Tân, 20m,2
Địa chỉ: Đường Dương Quảng Hàm,Phường 5,Quận Gò Vấp,Thành phố Hồ Chí Minh,615336,Tin thường,Phòng trọ Quận Gò Vấp, 90m,1.55
Địa chỉ: 279 Đường Đội Cấn,Phường Liễu Giai,Quận Ba Đình,Thành phố Hồ Chí Minh,662256,Tin thường,Phòng trọ Quận Ba Đình, 25m,3.5
,Phường 10,Quận Tân Bình,Thành phố Hồ Chí Minh,663883,Tin thường,Phòng trọ Quận Tân Bình, 35m,4.5
,Phường 7,Quận Gò Vấp,Thành phố Hồ Chí Minh,632004,Tin thường,Phòng trọ Quận Gò Vấp, 35m,1.4
,,,Không rõ,663878,Tin miễn phí,Phòng trọ Huyện Hoài Đức, 40m,4.8
,Phường 8,Quận 11,Thành phố Hồ Chí Minh,645605,Tin thường,Phòng trọ Quận 11, 40m,3.3
Địa chỉ: Đường số 35CL,Phường Cát Lái,Quận 2,Thành phố Hồ Chí Minh,663885,Tin thường,Phòng trọ Quận 2, 20m,2.5
,Phường 26,Quận Bình Thạnh,Thành phố Hồ Chí Minh,663460,Tin thường,Phòng trọ Quận Bình Thạnh, 23m,4.5
,Phường 6,Quận Gò Vấp,Thành phố Hồ Chí Minh,663441,Tin thường,Phòng trọ Quận Gò Vấp, 25m,4.2
,Phường 5,Quận Gò Vấp,Thành phố Hồ Chí Minh,661970,Tin thường,Phòng trọ Quận Gò Vấp, 24m,4.1
,Phường 7,Quận Gò Vấp,Thành phố Hồ Chí Minh,663439,Tin thường,Phòng trọ Quận Gò Vấp, 20m,3.6
,Phường Thạnh Mỹ Lợi,Quận 2,Thành phố Hồ Chí Minh,641917,Tin thường,Phòng trọ Quận 2, 35m,4.8
Địa chỉ: 463/1E Đường Cách Mạng Tháng Tám,Phường 13,Quận 10,Thành phố Hồ Chí Minh,313569,Tin thường,Tìm người ở ghép Quận 10, 60m,0.65
,Phường 5,Quận 11,Thành phố Hồ Chí Minh,652064,Tin miễn phí,Phòng trọ Quận 11, 12m,1.7
Địa chỉ: Đường Hoàng Việt,Phường 4,Quận Tân Bình,Thành phố Hồ Chí Minh,663887,Tin miễn phí,Cho thuê căn hộ mini Quận Tân Bình, 45m,13.5
Địa chỉ: 185 Đường Thịnh Liệt,Phường Thịnh Liệt,Quận Hoàng Mai,Thành phố Hồ Chí Minh,660572,Tin thường,Phòng trọ Quận Hoàng Mai, 20m,1.45
Địa chỉ: 120 Đường Ni Sư Huỳnh Liên,Phường 10,Quận Tân Bình,Thành phố Hồ Chí Minh,663926,Tin miễn phí,Cho thuê căn hộ mini Quận Tân Bình, 30m,7
Địa chỉ: Đường Quốc Lộ 13,Phường 26,Quận Bình Thạnh,Thành phố Hồ Chí Minh,663886,Tin thường,Phòng trọ Quận Bình Thạnh, 30m,6.1
Địa chỉ: Qq5 Đường Nguyễn Hữu Cảnh,Phường 19,Quận Bình Thạnh,Thành phố Hồ Chí Minh,663927,Tin miễn phí,Cho thuê căn hộ Quận Bình Thạnh, 50m,9
,Phường 17,Quận Bình Thạnh,Thành phố Hồ Chí Minh,642767,Tin thường,Phòng trọ Quận Bình Thạnh, 30m,6.2
,Phường 7,Quận Phú Nhuận,Thành phố Hồ Chí Minh,663888,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận Phú Nhuận, 40m,7
Địa chỉ: 185 Đường Nguyễn Hữu Cảnh,Phường 22,Quận Bình Thạnh,Thành phố Hồ Chí Minh,635876,Tin thường,Phòng trọ Quận Bình Thạnh, 25m,5.3
Địa chỉ: 92 Đường Xô Viết Nghệ Tĩnh,Phường 21,Quận Bình Thạnh,Thành phố Hồ Chí Minh,663929,Tin thường,Phòng trọ Quận Bình Thạnh, 25m,5.5
Địa chỉ: Đường Nguyễn Văn Thương,Phường 25,Quận Bình Thạnh,Thành phố Hồ Chí Minh,634762,Tin thường,Phòng trọ Quận Bình Thạnh, 30m,6.8
,Phường Quan Hoa,Quận Cầu Giấy,Thành phố Hồ Chí Minh,663928,Tin miễn phí,Phòng trọ Quận Cầu Giấy, 30m,4.5
