Đường,Phường,Quận/Huyện,Thành phố,Hashtag,Gói tin,Loại phòng,Diện tích (m²),Giá phòng (triệu/tháng)
28  Nguyễn Cảnh Chân,Nguyễn Cư Trinh,1,Hồ Chí Minh,663730,Tin thường,Phòng trọ Quận 1, 30m,4.5
212b  Nguyễn Trãi,Nguyễn Cư Trinh,1,Hồ Chí Minh,663939,Tin thường,Cho thuê căn hộ dịch vụ Quận 1, 30m,5.5
Trần Hưng Đạo,Nguyễn Cư Trinh,1,Hồ Chí Minh,663936,Tin thường,Cho thuê căn hộ Quận 1, 40m,8
Lê Văn Quới,Bình Trị Đông,Bình Tân,Hồ Chí Minh,662897,Tin thường,Phòng trọ Quận Bình Tân, 35m,4.2
Lê Đức Thọ,16,Gò Vấp,Hồ Chí Minh,662484,Tin thường,Phòng trọ Quận Gò Vấp, 35m,4.5
Trường Sơn,2,Tân Bình,Hồ Chí Minh,663935,Tin thường,Cho thuê căn hộ Quận Tân Bình, 40m,7
,Bình Hưng Hòa,Bình Tân,Hồ Chí Minh,648522,Tin thường,Phòng trọ Quận Bình Tân, 30m,3.8
,Bình Trị Đông A,Bình Tân,Hồ Chí Minh,636390,Tin thường,Cho thuê căn hộ dịch vụ Quận Bình Tân, 30m,4.6
Nguyễn Trãi,Nguyễn Cư Trinh,1,Hồ Chí Minh,663941,Tin miễn phí,Cho thuê căn hộ mini Quận 1, 40m,7
Trần Xuân Soạn,Tân Thuận Tây,7,Hồ Chí Minh,663940,Tin thường,Cho thuê căn hộ Quận 7, 30m,7.8
100  số 28,6,Gò Vấp,Hồ Chí Minh,663584,Tin thường,Cho thuê căn hộ dịch vụ Quận Gò Vấp, 30m,5.2
,6,Gò Vấp,Hồ Chí Minh,663942,Tin thường,Phòng trọ Quận Gò Vấp, 25m,2.8
685  Xô Viết Nghệ Tĩnh,26,Bình Thạnh,Hồ Chí Minh,651699,Tin thường,Phòng trọ Quận Bình Thạnh, 35m,5
1  số 3,9,Gò Vấp,Hồ Chí Minh,663943,Tin thường,Phòng trọ Quận Gò Vấp, 25m,3.5
656  Quang Trung,11,Gò Vấp,Hồ Chí Minh,663944,Tin thường,Phòng trọ Quận Gò Vấp, 25m,3.6
32  số 22,Phước Long B,9,Hồ Chí Minh,663009,Tin thường,Phòng trọ Quận 9, 35m,1.6
242  Tây Thạnh,Tây Thạnh,Tân Phú,Hồ Chí Minh,663525,Tin thường,Phòng trọ Quận Tân Phú, 35m,1.7
125  Nguyễn Thị Tần,1,8,Hồ Chí Minh,663449,Tin thường,Phòng trọ Quận 8, 35m,1.6
305  Lý Thái Tổ,9,10,Hồ Chí Minh,663558,Tin thường,Phòng trọ Quận 10, 35m,1.8
29/24  B3,Tây Thạnh,Tân Phú,Hồ Chí Minh,663890,Tin miễn phí,Phòng trọ Quận Tân Phú, 0m,3.5
Hẻm 350 Huỳnh tấn phát q7  Huỳnh Tấn Phát,Bình Thuận,7,Hồ Chí Minh,257079,Tin thường,Phòng trọ Quận 7, 30m,0.7
An Dương Vương,10,6,Hồ Chí Minh,653476,Tin thường,Phòng trọ Quận 6, 30m,3.5
Hoàng Việt,4,Tân Bình,Hồ Chí Minh,663892,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận Tân Bình, 40m,13.5
Xô Viết Nghệ Tĩnh,25,Bình Thạnh,Hồ Chí Minh,663894,Tin thường,Phòng trọ Quận Bình Thạnh, 28m,5
115/15  Nguyễn Công Hoan,7,Phú Nhuận,Hồ Chí Minh,663895,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận Phú Nhuận, 35m,13
,Tân Kiểng,7,Hồ Chí Minh,663896,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận 7, 35m,13
