diachi;phanloai;dientich;gia;goitin;giogiactudo;tulanh;maylanh;Daydunoithat;maygiat;gac;khongchungchu
284/7 Lý Thường Kiệt, Phường 14, Quận 10, Hồ Chí Minh - ; None; 25 m; None; Tin thường; 0; 1; 0; 1; 1; 0; 0
Xuân Đỉnh, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội - ; None; 22 m; None; Tin miễn phí; 1; 0; 1; 0; 1; 0; 0
315/16 Hai Bà Trưng, Phường Tân Định, Quận 1, Hồ Chí Minh - ; None; 35 m; None; Tin thường; 1; 1; 0; 0; 1; 0; 0
Đường số 35CL, Phường Cát Lái, Quận 2, Hồ Chí Minh - ; None; 18 m; None; Tin thường; 0; 0; 1; 1; 1; 1; 0
Đường Cộng Hòa, Phường 15, Quận Tân Bình, Hồ Chí Minh - ; None; 30 m; None; Tin thường; 1; 0; 1; 0; 0; 0; 0
35CL, Phường Cát Lái, Quận 2, Hồ Chí Minh - ; None; 35 m; None; Tin thường; 1; 0; 1; 0; 1; 0; 1
Điện Biên Phủ, Phường 11, Quận 10, Hồ Chí Minh - ; None; 30 m; None; Tin miễn phí; 0; 0; 0; 1; 1; 1; 0
414/28/9 Đoàn Văn Bơ, Phường 14, Quận 4, Hồ Chí Minh - ; None; 15 m; None; Tin thường; 0; 1; 0; 0; 1; 0; 0
91/19 Nguyễn Trọng Tuyển, Phường 15, Quận Phú Nhuận, Hồ Chí Minh - ; None; 25 m; None; Tin thường; 0; 1; 1; 1; 1; 1; 1
254/7/2G Đường Lê Văn Thọ, Phường 7, Quận Gò Vấp, Hồ Chí Minh - ; None; 30 m; None; Tin miễn phí; 1; 0; 0; 0; 1; 1; 0
Đường Trần Quốc Tuấn, Phường 1, Quận Gò Vấp, Hồ Chí Minh - ; None; 125 m; None; Tin thường; 1; 0; 1; 0; 1; 1; 1
69 Đường Nguyễn Gia Trí, Phường 25, Quận Bình Thạnh, Hồ Chí Minh - ; None; 35 m; None; Tin thường; 1; 1; 0; 0; 0; 1; 1
157/118 Đường Dương Bá Trạc, Phường 1, Quận 8, Hồ Chí Minh - ; None; 50 m; None; Tin miễn phí; 0; 0; 0; 1; 0; 1; 1
Bùi Văn Ba, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh - ; None; 35 m; None; Tin miễn phí; 0; 1; 0; 0; 0; 0; 1
965 Đường Quang Trung, Phường 14, Quận Gò Vấp, Hồ Chí Minh - ; None; 30 m; None; Tin thường; 1; 0; 1; 0; 1; 0; 0
965 Đường Quang Trung, Phường 14, Quận Gò Vấp, Hồ Chí Minh - ; None; 25 m; None; Tin thường; 0; 1; 1; 0; 1; 0; 1
19 Đường Tân Thuận Tây, Phường Tân Thuận Tây, Quận 7, Hồ Chí Minh - ; None; 30 m; None; Tin thường; 1; 0; 0; 1; 1; 1; 0
Phố Lý Thường Kiệt, Phường 14, Quận 10, Hồ Chí Minh - ; None; 30 m; None; Tin thường; 1; 1; 0; 1; 1; 1; 1
Đường Võ Văn Hát, Phường Long Trường, Quận 9, Hồ Chí Minh - ; None; 30 m; None; Tin thường; 1; 1; 0; 1; 1; 0; 0
Đường Nguyễn Văn Đậu, Phường 6, Quận Bình Thạnh, Hồ Chí Minh - ; None; 20 m; None; Tin thường; 1; 0; 1; 1; 1; 0; 1
102 Đường Lê Văn Thọ, Phường 11, Quận Gò Vấp, Hồ Chí Minh - ; None; 25 m; None; Tin miễn phí; 0; 1; 1; 0; 1; 1; 0
562/15/3 Đường Quang Trung, Phường 11, Quận Gò Vấp, Hồ Chí Minh - ; None; 45 m; None; Tin miễn phí; 0; 1; 0; 0; 0; 0; 1
57/55/19 Đường Điện Biên Phủ, Phường 15, Quận Bình Thạnh, Hồ Chí Minh - ; None; 16 m; None; Tin thường; 0; 0; 0; 0; 1; 0; 0
81 Đường Nguyễn Cửu Vân, Phường 17, Quận Bình Thạnh, Hồ Chí Minh - ; None; 35 m; None; Tin thường; 1; 0; 1; 0; 1; 1; 0
33 Gò Cát, Phường Phú Hữu, Quận 9, Hồ Chí Minh - ; None; 20 m; None; Tin thường; 1; 1; 1; 0; 1; 1; 0
861/52/19 Đường Trần Xuân Soạn, Phường Tân Hưng, Quận 7, Hồ Chí Minh - ; None; 20 m; None; Tin thường; 1; 0; 1; 1; 0; 0; 0
Tống Văn Hên, Phường 15, Quận Tân Bình, Hồ Chí Minh - ; None; 33 m; None; Tin miễn phí; 1; 0; 0; 0; 1; 0; 0
111 Đường Trần Trọng Cung, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh - ; None; 25 m; None; Tin miễn phí; 0; 1; 0; 0; 0; 1; 1
Đường Nguyễn Thái Bình, Phường 4, Quận Tân Bình, Hồ Chí Minh - ; None; 45 m; None; Tin thường; 0; 1; 1; 1; 0; 0; 0
Đường Hoàng Văn Thụ, Phường 2, Quận Tân Bình, Hồ Chí Minh - ; None; 45 m; None; Tin thường; 1; 0; 1; 0; 1; 0; 1
13 Đường số 27, Phường Tân Quy, Quận 7, Hồ Chí Minh - ; None; 20 m; None; Tin miễn phí; 1; 0; 0; 0; 1; 0; 0
Hoàng Văn Thụ, Phường 4, Quận Tân Bình, Hồ Chí Minh - ; None; 45 m; None; Tin thường; 1; 0; 0; 1; 1; 0; 1
98A Đặng Thuỳ Trâm, Phường 13, Quận Bình Thạnh, Hồ Chí Minh - ; None; 25 m; None; Tin thường; 1; 0; 0; 0; 0; 1; 0
Đường số 1 Cư xá Đô Thành, Phường 4, Quận 3, Hồ Chí Minh - ; None; 28 m; None; Tin thường; 0; 1; 0; 1; 0; 1; 1
83/49/4 Đường Trương Đăng Quế, Phường 3, Quận Gò Vấp, Hồ Chí Minh - ; None; 30 m; None; Tin thường; 1; 1; 0; 1; 0; 1; 1
13/15 Phố số 36, Phường Tân Quy, Quận 7, Hồ Chí Minh - ; None; 25 m; None; Tin miễn phí; 0; 1; 1; 1; 0; 0; 0
Bình Thành, Phường Bình Hưng Hòa B, Quận Bình Tân, Hồ Chí Minh - ; None; 20 m; None; Tin miễn phí; 0; 0; 1; 1; 0; 1; 0
40/44 Đường Nguyễn Giản Thanh, Phường 15, Quận 10, Hồ Chí Minh - ; None; 18 m; None; Tin miễn phí; 0; 1; 1; 0; 1; 0; 0
12 Hà Huy Giáp, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh - ; None; 30 m; None; Tin thường; 1; 0; 1; 1; 1; 0; 1
248/6 Đường Cách Mạng Tháng Tám, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng - ; None; 23 m; None; Tin miễn phí; 1; 0; 0; 1; 1; 1; 0
Lê Văn Sỹ, Phường 13, Quận 3, Hồ Chí Minh - ; None; 30 m; None; Tin miễn phí; 1; 0; 1; 1; 1; 0; 1
308 Đường Huỳnh Tấn Phát, Phường Tân Thuận Tây, Quận 7, Hồ Chí Minh - ; None; 25 m; None; Tin thường; 0; 1; 1; 0; 0; 0; 0
Phố Nguyễn Thiện Thuật, Phường 1, Quận 3, Hồ Chí Minh - ; None; 25 m; None; Tin miễn phí; 0; 0; 0; 1; 0; 0; 1
131 Nguyễn Thị Minh Khai, Phường Bến Thành, Quận 1, Hồ Chí Minh - ; None; 30 m; None; Tin miễn phí; 0; 0; 0; 1; 0; 0; 1
Đường Phan Huy Ích, Phường 13, Quận Tân Bình, Hồ Chí Minh - ; None; 30 m; None; Tin thường; 1; 1; 0; 1; 1; 1; 0
Nguyễn Hữu Tiến, Phường Tây Thạnh, Quận Tân Phú, Hồ Chí Minh - ; None; 16 m; None; Tin miễn phí; 1; 1; 1; 1; 0; 1; 1
Phạm Văn Đồng, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh - ; None; 25 m; None; Tin miễn phí; 1; 1; 0; 1; 0; 0; 0
Lâm Văn Bền, Phường Tân Kiểng, Quận 7, Hồ Chí Minh - ; None; 30 m; None; Tin miễn phí; 1; 0; 0; 0; 1; 0; 0
59/18 Đường số 4 Cư xá Đô Thành, Phường 4, Quận 3, Hồ Chí Minh - ; None; 16 m; None; Tin thường; 1; 0; 1; 0; 0; 0; 0
284 Lý Thường Kiệt, Phường 14, Quận 10, Hồ Chí Minh - ; None; 30 m; None; Tin thường; 1; 1; 1; 1; 1; 0; 1
Đường số 29, Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh - ; None; 35 m; None; Tin thường; 1; 1; 1; 0; 1; 1; 0
480A Đường Cao Thắng, Phường 12, Quận 10, Hồ Chí Minh - ; None; 20 m; None; Tin thường; 1; 0; 1; 1; 0; 1; 1
Hồng Hà, Phường 9, Quận Phú Nhuận, Hồ Chí Minh - ; None; 25 m; None; Tin thường; 1; 0; 0; 1; 1; 1; 1
82 Đường Bình Quới, Phường 27, Quận Bình Thạnh, Hồ Chí Minh - ; None; 30 m; None; Tin thường; 0; 0; 1; 1; 0; 1; 0
Hiệp Bình, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh - ; None; 20 m; None; Tin miễn phí; 0; 1; 1; 0; 1; 1; 1
Đường Nguyễn Thái Sơn, Phường 5, Quận Gò Vấp, Hồ Chí Minh - ; None; 23 m; None; Tin miễn phí; 1; 1; 0; 1; 1; 0; 0
213/15 Đường Xóm Chiếu, Phường 15, Quận 4, Hồ Chí Minh - ; None; 15 m; None; Tin thường; 0; 1; 0; 0; 1; 0; 1
Phan Văn Trị, Phường 5, Quận Gò Vấp, Hồ Chí Minh - ; None; 20 m; None; Tin thường; 1; 0; 1; 0; 1; 0; 0
Đường Phan Văn Trị, Phường 11, Quận Bình Thạnh, Hồ Chí Minh - ; None; 27 m; None; Tin thường; 0; 1; 1; 1; 1; 1; 0
666/29/7 Đường số 3/2, Phường 14, Quận 10, Hồ Chí Minh - ; None; 28 m; None; Tin thường; 1; 1; 1; 1; 0; 0; 0
Lò Lu, Phường Trường Thạnh, Quận 9, Hồ Chí Minh - ; None; 25 m; None; Tin thường; 0; 1; 1; 0; 0; 0; 1
Xô Viết Nghệ Tĩnh, Phường 26, Quận Bình Thạnh, Hồ Chí Minh - ; None; 26 m; None; Tin miễn phí; 0; 0; 1; 0; 0; 1; 0
Đường Hoàng Văn Thụ, Phường 8, Quận Phú Nhuận, Hồ Chí Minh - ; None; 25 m; None; Tin thường; 0; 0; 1; 1; 0; 0; 1
Thích Quảng Đức, Phường 4, Quận Phú Nhuận, Hồ Chí Minh - ; None; 27 m; None; Tin miễn phí; 0; 1; 1; 0; 1; 1; 1
Nơ Trang Long, Phường 7, Quận Bình Thạnh, Hồ Chí Minh - ; None; 28 m; None; Tin thường; 1; 1; 1; 0; 1; 0; 0
40 Đường Hoàng Bật Đạt, Phường 15, Quận Tân Bình, Hồ Chí Minh - ; None; 22 m; None; Tin thường; 1; 1; 0; 1; 0; 1; 0
449 Đường Trường Chinh, Quận Tân Bình, Hồ Chí Minh - ; None; 25 m; None; Tin thường; 0; 0; 1; 0; 0; 0; 0
Lê Đức Thọ, Phường 17, Quận Gò Vấp, Hồ Chí Minh - ; None; 28 m; None; Tin thường; 1; 1; 1; 1; 1; 0; 0
544C Bình Quới, Phường 28, Quận Bình Thạnh, Hồ Chí Minh - ; None; 25 m; None; Tin thường; 1; 1; 1; 0; 0; 1; 1
Nguyễn Văn Lượng, Phường 6, Quận Gò Vấp, Hồ Chí Minh - ; None; 20 m; None; Tin miễn phí; 1; 0; 0; 1; 0; 0; 0
Đường Bình Thới, Phường 11, Quận 11, Hồ Chí Minh - ; None; 30 m; None; Tin thường; 1; 1; 0; 0; 1; 0; 1
Nguyễn Cư Trinh, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh - ; None; 20 m; None; Tin thường; 0; 1; 1; 1; 1; 0; 1
133 Đường Bùi Viện, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh - ; None; 35 m; None; Tin thường; 0; 1; 0; 0; 0; 0; 0
71 Đường Nguyễn Bậc, Phường 3, Quận Tân Bình, Hồ Chí Minh - ; None; 35 m; None; Tin thường; 1; 1; 1; 1; 0; 0; 1
159 Ngô Quyền, Phường 6, Quận 10, Hồ Chí Minh - ; None; 30 m; None; Tin thường; 0; 1; 0; 0; 0; 1; 0
Đường Phạm Hùng, Xã Bình Hưng, Huyện Bình Chánh, Hồ Chí Minh - ; None; 30 m; None; Tin thường; 0; 1; 1; 1; 0; 1; 0
685 Đường Xô Viết Nghệ Tĩnh, Phường 26, Quận Bình Thạnh, Hồ Chí Minh - ; None; 25 m; None; Tin thường; 0; 1; 1; 0; 0; 0; 0
Phạm Hùng, Xã Bình Hưng, Huyện Bình Chánh, Hồ Chí Minh - ; None; 25 m; None; Tin thường; 0; 0; 1; 0; 1; 0; 1
Đường Phạm Hùng, Phường 5, Quận 8, Hồ Chí Minh - ; None; 35 m; None; Tin thường; 1; 0; 0; 1; 0; 0; 1
Đường Phạm Hùng, Xã Bình Hưng, Huyện Bình Chánh, Hồ Chí Minh - ; None; 25 m; None; Tin thường; 1; 1; 1; 0; 1; 1; 0
117 Trần Trọng Cung, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh - ; None; 35 m; None; Tin thường; 1; 1; 0; 1; 0; 1; 1
42/ Đường Hồ Thị Kỷ, Phường 1, Quận 10, Hồ Chí Minh - ; None; 22 m; None; Tin thường; 1; 0; 1; 1; 0; 1; 1
35 Phú Thuận, Phường Tân Phú, Quận 7, Hồ Chí Minh - ; None; 35 m; None; Tin thường; 1; 1; 1; 0; 1; 0; 1
13 Đường số 12, Phường Linh Chiểu, Thủ Đức, Hồ Chí Minh - ; None; 35 m; None; Tin thường; 1; 0; 0; 1; 1; 0; 1
Đào Trinh Nhất, Phường Linh Tây, Thủ Đức, Hồ Chí Minh - ; None; 30 m; None; Tin thường; 0; 1; 0; 0; 0; 1; 1
Quốc lộ 1A, Phường Bình Chiểu, Thủ Đức, Hồ Chí Minh - ; None; 20 m; None; Tin thường; 0; 1; 0; 0; 0; 0; 1
Lê Thị Hoa, Phường Bình Chiểu, Thủ Đức, Hồ Chí Minh - ; None; 20 m; None; Tin thường; 1; 0; 0; 0; 0; 0; 0
200 Đường Bưng Ông Thoàn, Phường Tăng Nhơn Phú B, Quận 9, Hồ Chí Minh - ; None; 30 m; None; Tin thường; 1; 1; 1; 0; 1; 1; 0
Võ Văn Hát, Phường Long Trường, Quận 9, Hồ Chí Minh - ; None; 20 m; None; Tin thường; 1; 0; 1; 0; 1; 0; 0
685/25/3 Đường Xô Viết Nghệ Tĩnh, Phường 26, Quận Bình Thạnh, Hồ Chí Minh - ; None; 18 m; None; Tin thường; 0; 1; 0; 1; 1; 0; 0
Cao Thắng, Phường 6, Quận 10, Hồ Chí Minh - ; None; 35 m; None; Tin thường; 0; 1; 1; 1; 0; 0; 0
571 Đường Cách Mạng Tháng Tám, Phường 15, Quận 10, Hồ Chí Minh - ; None; 15 m; None; Tin miễn phí; 0; 0; 0; 0; 1; 0; 1
Đường Bắc Hải, Phường 15, Quận 10, Hồ Chí Minh - ; None; 35 m; None; Tin thường; 0; 1; 0; 0; 1; 1; 0
535 Tân Kỳ Tân Quý, Phường Tân Quý, Quận Tân Phú, Hồ Chí Minh - ; None; 20 m; None; Tin thường; 0; 1; 0; 0; 0; 1; 1
100/52/1 Đường Thích Quảng Đức, Phường 5, Quận Phú Nhuận, Hồ Chí Minh - ; None; 12 m; None; Tin thường; 1; 1; 1; 0; 0; 1; 0
15, Xã Bình Hưng, Huyện Bình Chánh, Hồ Chí Minh - ; None; 20 m; None; Tin miễn phí; 1; 0; 0; 0; 1; 0; 0
Nguyễn Xí, Phường 26, Quận Bình Thạnh, Hồ Chí Minh - ; None; 40 m; None; Tin thường; 0; 1; 1; 0; 0; 1; 0
Minh Phụng, Phường 2, Quận 11, Hồ Chí Minh - ; None; 25 m; None; Tin thường; 1; 1; 0; 1; 0; 1; 1
Đường Phạm Hồng Thái, Phường 7, Thành Phố Vũng Tàu, Bà Rịa - Vũng Tàu - ; None; 24 m; None; Tin thường; 0; 1; 1; 0; 1; 0; 0
Bình Thành, Phường Bình Hưng Hòa B, Quận Bình Tân, Hồ Chí Minh - ; None; 20 m; None; Tin miễn phí; 0; 1; 0; 1; 0; 1; 0
456/2 Đường Cao Thắng, Phường 12, Quận 10, Hồ Chí Minh - ; None; 24 m; None; Tin thường; 1; 1; 1; 1; 1; 1; 1
Dương Quảng Hàm, Phường 5, Quận Gò Vấp, Hồ Chí Minh - ; None; 20 m; None; Tin miễn phí; 1; 0; 1; 0; 0; 1; 0
Đường Nguyễn Sỹ Sách, Phường 15, Quận Tân Bình, Hồ Chí Minh - ; None; 25 m; None; Tin thường; 1; 0; 1; 1; 1; 1; 1
66/175 Đường Xô Viết Nghệ Tĩnh, Phường 21, Quận Bình Thạnh, Hồ Chí Minh - ; None; 25 m; None; Tin thường; 0; 0; 1; 1; 0; 0; 1
Nguyễn Sỹ Sách, Phường 15, Quận Tân Bình, Hồ Chí Minh - ; None; 25 m; None; Tin thường; 0; 0; 1; 0; 0; 1; 0
Đinh Bộ Lĩnh, Phường 26, Quận Bình Thạnh, Hồ Chí Minh - ; None; 30 m; None; Tin thường; 1; 0; 0; 1; 1; 0; 0
Đường Cống Lở, Phường 15, Quận Tân Bình, Hồ Chí Minh - ; None; 25 m; None; Tin thường; 0; 1; 0; 1; 0; 0; 0
Huỳnh Văn Bánh, Phường 14, Quận Phú Nhuận, Hồ Chí Minh - ; None; 25 m; None; Tin thường; 1; 1; 1; 0; 1; 1; 0
Đường Nguyễn Thị Minh Khai, Phường Bến Thành, Quận 1, Hồ Chí Minh - ; None; 30 m; None; Tin thường; 1; 0; 1; 1; 1; 1; 1
Đông Hưng Thuận 17, Phường Đông Hưng Thuận, Quận 12, Hồ Chí Minh - ; None; 30 m; None; Tin miễn phí; 0; 0; 0; 1; 0; 0; 0
243/37/31 Hoàng Diệu, Phường 8, Quận 4, Hồ Chí Minh - ; None; 20 m; None; Tin miễn phí; 0; 1; 0; 1; 0; 0; 1
68 Đồng Nai, Phường 15, Quận 10, Hồ Chí Minh - ; None; 25 m; None; Tin miễn phí; 0; 0; 0; 1; 1; 0; 1
7 Đường C1, Phường 13, Quận Tân Bình, Hồ Chí Minh - ; None; 30 m; None; Tin miễn phí; 1; 1; 0; 1; 0; 0; 1
14-16 Đường số 9, Phường 13, Quận 6, Hồ Chí Minh - ; None; 12 m; None; Tin thường; 0; 1; 0; 1; 0; 1; 0
33 Đường Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh - ; None; 28 m; None; Tin miễn phí; 0; 0; 1; 1; 1; 0; 1
150 Bùi Thị Xuân, Phường 2, Quận Tân Bình, Hồ Chí Minh - ; None; 20 m; None; Tin thường; 1; 0; 0; 0; 1; 0; 0
Đường Nguyễn Thái Sơn, Phường 5, Quận Gò Vấp, Hồ Chí Minh - ; None; 20 m; None; Tin thường; 0; 0; 0; 1; 0; 0; 1
Đường Bình Quới, Phường 27, Quận Bình Thạnh, Hồ Chí Minh - ; None; 35 m; None; Tin miễn phí; 0; 1; 1; 1; 1; 0; 1
520 Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh - ; None; 10 m; None; Tin thường; 1; 0; 0; 1; 0; 1; 0
148/20 3 Cư xá Lữ Gia, Phường 15, Quận 11, Hồ Chí Minh - ; None; 12 m; None; Tin thường; 0; 0; 1; 1; 1; 1; 1
520 Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh - ; None; 6 m; None; Tin thường; 1; 1; 0; 1; 1; 0; 1
Đường Tạ Hiện, Phường Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh - ; None; 30 m; None; Tin thường; 1; 1; 1; 1; 1; 1; 1
Lâm Văn Bền, Phường Tân Quy, Quận 7, Hồ Chí Minh - ; None; 30 m; None; Tin thường; 1; 0; 0; 0; 1; 0; 0
Hẻm 188 Đường Thành Thái, Phường 12, Quận 10, Hồ Chí Minh - ; None; 14 m; None; Tin thường; 1; 1; 0; 0; 0; 0; 0
38/50 Đường Nguyễn Văn Vịnh, Phường Hiệp Tân, Quận Tân Phú, Hồ Chí Minh - ; None; 15 m; None; Tin thường; 0; 0; 0; 0; 0; 0; 0
Cầu Diễn, Phường Phúc Diễn, Quận Bắc Từ Liêm, Hà Nội - ; None; 30 m; None; Tin thường; 1; 0; 1; 0; 0; 0; 1
Đường Bình Trị Đông, Phường Bình Trị Đông A, Quận Bình Tân, Hồ Chí Minh - ; None; 45 m; None; Tin thường; 1; 0; 0; 1; 1; 0; 1
243/37/31 Hoàng Diệu, Phường 8, Quận 4, Hồ Chí Minh - ; None; 20 m; None; Tin miễn phí; 0; 0; 0; 1; 0; 1; 1
24C Đường Ngô Bệ, Phường 13, Quận Tân Bình, Hồ Chí Minh - ; None; 35 m; None; Tin miễn phí; 1; 1; 1; 0; 0; 1; 1
Đường Phú Kiều, Phường Phúc Diễn, Quận Bắc Từ Liêm, Hà Nội - ; None; 35 m; None; Tin thường; 0; 0; 1; 1; 1; 0; 1
232 Đường Quốc Lộ 13, Phường 26, Quận Bình Thạnh, Hồ Chí Minh - ; None; 40 m; None; Tin thường; 0; 0; 0; 0; 0; 1; 1
237-96 Đường Trần Văn Đang, Phường 11, Quận 3, Hồ Chí Minh - ; None; 40 m; None; Tin miễn phí; 0; 1; 1; 1; 0; 1; 0
92 Đường Phan Huy Ích, Phường 15, Quận Tân Bình, Hồ Chí Minh - ; None; 30 m; None; Tin miễn phí; 0; 1; 1; 0; 0; 0; 0
87 Đường Nguyễn Sỹ Sách, Phường 15, Quận Tân Bình, Hồ Chí Minh - ; None; 30 m; None; Tin miễn phí; 0; 0; 0; 1; 1; 0; 1
Đường số 20, Phường 5, Quận Gò Vấp, Hồ Chí Minh - ; None; 30 m; None; Tin miễn phí; 0; 0; 1; 0; 1; 0; 0
8A Đường số 39, Phường Bình Trưng Đông, Quận 2, Hồ Chí Minh - ; None; 25 m; None; Tin thường; 1; 0; 1; 0; 0; 1; 0
37 Đường số 38, Phường Bình Trưng Đông, Quận 2, Hồ Chí Minh - ; None; 25 m; None; Tin thường; 0; 1; 0; 1; 1; 0; 1
Đường Nguyễn Văn Linh, Phường Tân Phú, Quận 7, Hồ Chí Minh - ; None; 80 m; None; Tin thường; 0; 1; 1; 1; 1; 1; 0
Đường Dương Khuê, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội - ; None; 28 m; None; Tin thường; 0; 0; 0; 0; 0; 1; 0
Đông Hưng Thuận 17, Phường Đông Hưng Thuận, Quận 12, Hồ Chí Minh - ; None; 20 m; None; Tin miễn phí; 0; 0; 0; 1; 1; 0; 1
434/76/39 Phạm Văn Chiêu, Phường 9, Quận Gò Vấp, Hồ Chí Minh - ; None; 12 m; None; Tin miễn phí; 0; 0; 0; 1; 1; 0; 0
Lưu Chí Hiếu, Phường Tây Thạnh, Quận Tân Phú, Hồ Chí Minh - ; None; 25 m; None; Tin thường; 1; 1; 1; 1; 1; 1; 1
Đường Đoàn Văn Bơ, Phường 14, Quận 4, Hồ Chí Minh - ; None; 20 m; None; Tin thường; 0; 1; 0; 1; 1; 0; 1
195 Đường D2, Phường Tăng Nhơn Phú A, Quận 9, Hồ Chí Minh - ; None; 35 m; None; Tin thường; 0; 1; 1; 0; 1; 0; 1
hẻm 403 Đường Phan Văn Trị, Phường 11, Quận Bình Thạnh, Hồ Chí Minh - ; None; 100 m; None; Tin miễn phí; 1; 0; 0; 1; 1; 1; 0
Đường Bến Cát, Phường 7, Quận Tân Bình, Hồ Chí Minh - ; None; 27 m; None; Tin thường; 0; 0; 1; 0; 1; 1; 1
63/2B Lê Văn Sỹ, Phường 13, Quận Phú Nhuận, Hồ Chí Minh - ; None; 30 m; None; Tin thường; 0; 0; 0; 1; 0; 1; 0
Trường Chinh, Phường 14, Quận Tân Bình, Hồ Chí Minh - ; None; 22 m; None; Tin miễn phí; 0; 1; 1; 0; 1; 0; 1
Đường số 27, Phường Tân Quy, Quận 7, Hồ Chí Minh - ; None; 25 m; None; Tin thường; 0; 0; 0; 0; 0; 0; 0
69 Đường Hoàng Văn Thái, Phường Khương Mai, Quận Thanh Xuân, Hà Nội - ; None; 37 m; None; Tin thường; 0; 0; 1; 1; 0; 1; 1
Láng, Phường Láng Hạ, Quận Đống Đa, Hà Nội - ; None; 50 m; None; Tin miễn phí; 0; 0; 0; 1; 1; 1; 0
